name,mapping,type,description,nullable,defaultValue,masking type
DynamicAttribute46,TelcoIvrRefdataBanSpendingLimit,long,,TRUE,,none
DynamicAttribute47,TelcoIvrRefdataBillingPastDueYnFlag,long,,TRUE,,none
DynamicAttribute48,TelcoIvrRefdataCallEnvironment,long,,TRUE,,none
DynamicAttribute49,TelcoIvrRefdataCollectionsStatusCode,long,,TRUE,,none
DynamicAttribute50,TelcoIvrRefdataDeviceActivationDateIndicatorTFFlag,long,,TRUE,,none
DynamicAttribute51,TelcoIvrRefdataFutureDatePaymentIndicatorTFFlag,long,,TRUE,,none
DynamicAttribute52,TelcoIvrRefdataInstallmentBillingIndicatorTFFlag,long,,TRUE,,none
DynamicAttribute53,TelcoIvrRefdataIsDelinquentTFFlag,long,,TRUE,,none
DynamicAttribute54,TelcoIvrRefdataPastDueFlag,long,,TRUE,,none
DynamicAttribute55,"TelcoIvrRefdataPaymentArrangementIndicatorTFFlag
TelcoVoiceRefdataPaymentArrangementYnFlagSession",long,,TRUE,,none
DynamicAttribute56,TelcoIvrRefdataShotLinersCode,long,,TRUE,,none
DynamicAttribute57,TelcoIvrRefdataSplitBillCode,long,,TRUE,,none
DynamicAttribute58,TelcoIvrRefdataSummaryBillIndicatorTFFlag,long,,TRUE,,none
DynamicAttribute59,SharedSession_RefData_Journey_PIC_Eligible_YN,long,,TRUE,,none
DynamicAttribute60,TelcoSharedtle0BothRefdataEcsfbCapabilitySession,long,,TRUE,,none
DynamicAttribute61,TelcoSharedtle0BothRefdataHdVoiceCapableSession,long,,TRUE,,none
DynamicAttribute62,TelcoIvrRefdataLanguage,long,,TRUE,,none
DynamicAttribute63,Not in use,long,,TRUE,,none
DynamicAttribute64,TelcoIvrRefdataPINIndicatorTFFlag,long,,TRUE,,none
DynamicAttribute65,IVR_fromVoice_RefData_Short_Call_YN_Flag,long,,TRUE,,none
DynamicAttribute66,"IVR_fromVoice_RefData_Organization
TelcoVoiceRefdataOrganization",long,,TRUE,,none
DynamicAttribute67,TelcoSharedtle0BothRefdataWifiCapableSession,long,,TRUE,,none
DynamicAttribute68,TelcoSharedtq22BothRefdataAiraveCandidateStatusSession,long,,TRUE,,none
DynamicAttribute69,TelcoIvrRefdataCompletedTransactions,long,,TRUE,,none
DynamicAttribute70,"TelcoIvrRefdataAccountValue
TelcoSharedaccdimBothRefdataAccountValueSession",long,,TRUE,,none
DynamicAttribute71,SharedSession_CalculatedRefData_Any2Any_Next_Channel_ID,long,,TRUE,,none
DynamicAttribute72,SharedSession_CalculatedRefData_Any2Any_Number_Days_To_Next_Contact,long,,TRUE,,none
DynamicAttribute73,TelcoIvrRefdataIvrFirstAppId,long,,TRUE,,none
DynamicAttribute74,TelcoIvrRefdataIvrLastAppId,long,,TRUE,,none
DynamicAttribute75,SharedSession_CalculatedRefData_Any2Any_Number_Days_To_Previous_Contact,long,,TRUE,,none
DynamicAttribute76,SharedSession_CalculatedRefData_Any2Any_Previous_Channel_ID,long,,TRUE,,none
DynamicAttribute77,TelcoSharedtq22BothRefdataIncoundMouBinSession,long,,TRUE,,none
DynamicAttribute78,SharedSession_CalculatedRefData_Any2Same_Number_Days_To_Next_Contact,long,,TRUE,,none
DynamicAttribute79,SharedSession_CalculatedRefData_Any2Same_Number_Days_To_Previous_Contact,long,,TRUE,,none
DynamicAttribute80,"IVR_fromVoice_RefData_Call_Center
TelcoVoiceRefdataCallCenter",long,,TRUE,,none
DynamicAttribute81,Not in use,long,,TRUE,,none
DynamicAttribute82,Not in use,long,,TRUE,,none
DynamicAttribute83,SharedSession_CalculatedRefData_Any2Voice_Number_Days_To_Next_Contact,long,,TRUE,,none
DynamicAttribute84,SharedSession_CalculatedRefData_Any2Voice_Number_Days_To_Previous_Contact,long,,TRUE,,none
DynamicAttribute85,Not in use,long,,TRUE,,none
DynamicAttribute86,TelcoSharedtq22BothRefdataCdrReportYearMonthNumberSession,long,,TRUE,,none
DynamicAttribute87,Not in use,long,,TRUE,,none
DynamicAttribute88,TelcoSharedaccdimBothRefdataAccountTenureBinSession,long,,TRUE,,none
DynamicAttribute89,TelcoSharedihsummaryBothRefdataTouchPointNameSession,long,,TRUE,,none
DynamicAttribute90,IVR_fromIVREvent_RefData_Application_ID,long,,TRUE,,none
DynamicAttribute91,IVR_fromIVREvent_RefData_Brand,long,,TRUE,,none
DynamicAttribute92,TelcoSharedtmubBothRefdataAiraveQualityOfServicePctBinSession,long,,TRUE,,none
DynamicAttribute93,TelcoSharedtmubBothRefdataRoamingQualityOfServicePctBinSession,long,,TRUE,,none
DynamicAttribute94,TelcoSharedtmubBothRefdataTotalQualityOfServicePctBinSession,long,,TRUE,,none
DynamicAttribute95,"IVR_fromVoice_RefData_LOB
TelcoVoiceRefdataLob",long,,TRUE,,none
DynamicAttribute96,"IVR_fromVoice_RefData_Vendor
TelcoVoiceRefdataVendor",long,,TRUE,,none
DynamicAttribute97,"IVR_fromVoice_RefData_Director
TelcoVoiceRefdataDirector",long,,TRUE,,none
DynamicAttribute98,IVR_fromVoice_RefData_Call_Disposition,long,,TRUE,,none
DynamicAttribute99,IVR_fromVoice_RefData_Work_Time_Bin,long,,TRUE,,none
DynamicAttribute100,TelcoSharedtq22BothRefdata3gDataSessionCountBinSession,long,,TRUE,,none
DynamicAttribute101,TelcoSharedtq22BothRefdataAttemptedCallCountBinSession,long,,TRUE,,none
DynamicAttribute102,"IVR_fromVoiceEvent_fromVoiceSession_RefData_IVR_Transfer_Count
TelcoVoiceRefdataIVRTransferCount",long,,TRUE,,none
DynamicAttribute103,"IVR_fromVoiceEvent_fromVoiceSession_RefData_Abandoned_Call_Leg
TelcoVoiceRefdataAbandonedCallLeg",long,,TRUE,,none
DynamicAttribute104,TelcoSharedtq22BothRefdataAttemptedCallsMouBinSession,long,,TRUE,,none
DynamicAttribute105,TelcoSharedtq22BothRefdataBlockCallPercentageBinSession,long,,TRUE,,none
DynamicAttribute106,TelcoSharedtq22BothRefdataBlockedCallCountBinSession,long,,TRUE,,none
DynamicAttribute107,IVR_fromVoice_RefData_Skill_Group_Target_ID_Desc,long,,TRUE,,none
DynamicAttribute108,IVR_fromVoice_RefData_IVR_Call_Order,long,,TRUE,,none
DynamicAttribute109,"TelcoIvrRefdataCustValueScore
TelcoVoiceRefdataCustomerValueSegmentSession",long,,TRUE,,none
DynamicAttribute110,TelcoSharedtq22BothRefdataBlockedCallsMouBinSession,long,,TRUE,,none
DynamicAttribute111,"TelcoIvrRefdataSubscriberTenure
TelcoSharedsubdimBothRefdataSubscriberTenureBinSession",long,,TRUE,,none
DynamicAttribute112,"TelcoIvrRefdataTimeToContractExpiration
TelcoSharedsubdimBothRefdataTimeToContractExpirationBinSession",long,,TRUE,,none
DynamicAttribute113,TelcoSharedaccdimBothRefdataAccountTypeSubtypeSession,long,,TRUE,,none
DynamicAttribute114,TelcoSharedtq22BothRefdataDropCallPercentageBinSession,long,,TRUE,,none
DynamicAttribute115,TelcoIvrRefdataBaseCallType,long,,TRUE,,none
DynamicAttribute116,"TelcoIvrRefdataBillCycle
TelcoSharedaccdimBothRefdataBillCycleSession",long,,TRUE,,none
